Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
LA Clippers,San Antonio Spurs,0021500804,105,0.66,0.462,0.361,0.689,43.2,23.1,13.2,8.3,5.5,4.0,106.8,102.8,0.552,86,0.849,0.491,0.393,0.797,46.9,26.5,14.1,8.5,6.2,13.9,110.3,96.5,0.57,1,02/18/2016
Cleveland Cavaliers,Chicago Bulls,0021500803,106,0.731,0.457,0.358,0.726,47.3,23.6,14.3,7.2,4.0,6.3,108.7,102.5,0.549,95,0.519,0.435,0.359,0.782,48.6,22.2,14.5,6.1,6.0,-0.7,102.7,103.3,0.517,1,02/18/2016
Washington Wizards,Utah Jazz,0021500654,103,0.451,0.457,0.362,0.752,40.3,24.3,14.7,9.0,3.9,-2.7,103.9,106.6,0.545,89,0.5,0.445,0.354,0.754,45.9,19.8,15.9,8.4,5.5,1.5,105.4,103.8,0.538,1,02/18/2016
Los Angeles Lakers,San Antonio Spurs,0021500818,113,0.2,0.412,0.315,0.775,44.4,18.8,14.5,7.4,4.6,-9.9,99.5,109.3,0.505,119,0.833,0.489,0.39,0.797,46.6,26.4,14.1,8.5,6.1,13.3,109.9,96.7,0.569,0,02/19/2016
Chicago Bulls,Toronto Raptors,0021500809,116,0.509,0.434,0.359,0.778,48.7,22.0,14.4,6.1,6.0,-0.9,102.6,103.4,0.516,106,0.673,0.447,0.368,0.784,45.7,19.5,14.4,8.8,5.6,4.7,107.6,103.5,0.549,1,02/19/2016
Phoenix Suns,Houston Rockets,0021500814,100,0.259,0.44,0.364,0.756,43.6,20.9,17.1,8.3,4.0,-6.3,102.0,108.0,0.532,116,0.491,0.443,0.351,0.705,43.0,21.8,16.3,9.9,5.2,-1.8,105.9,107.8,0.549,0,02/19/2016
Brooklyn Nets,New York Knicks,0021500807,109,0.259,0.451,0.344,0.759,44.6,22.7,15.8,7.5,4.1,-7.6,100.5,107.8,0.522,98,0.418,0.438,0.336,0.808,46.2,21.5,14.2,6.2,5.9,-2.3,104.4,106.5,0.527,1,02/19/2016
Orlando Magic,Dallas Mavericks,0021500805,110,0.442,0.45,0.353,0.768,45.4,23.8,15.3,8.2,5.3,-1.5,103.2,104.5,0.528,104,0.527,0.439,0.34,0.784,44.3,22.1,13.1,6.9,3.5,-0.9,104.1,105.0,0.538,1,02/19/2016
Portland Trail Blazers,Golden State Warriors,0021500815,137,0.5,0.447,0.354,0.726,47.4,22.1,15.3,7.1,4.4,0.6,106.0,105.6,0.538,105,0.923,0.49,0.424,0.755,46.2,28.7,15.1,8.2,6.2,12.3,113.8,101.5,0.594,1,02/19/2016
Milwaukee Bucks,Charlotte Hornets,0021500813,95,0.407,0.461,0.349,0.756,43.7,24.0,16.1,8.2,5.9,-5.0,103.0,108.0,0.534,98,0.509,0.43,0.353,0.789,45.3,21.8,13.4,7.2,5.4,1.2,104.6,103.6,0.536,0,02/19/2016
Utah Jazz,Boston Celtics,0021500817,111,0.491,0.445,0.353,0.755,46.0,19.8,16.0,8.4,5.5,1.2,105.0,103.8,0.537,93,0.582,0.44,0.337,0.79,45.0,24.6,14.3,9.5,4.2,4.2,105.4,101.0,0.532,1,02/19/2016
Atlanta Hawks,Miami Heat,0021500808,111,0.564,0.46,0.348,0.787,42.1,25.9,15.4,9.7,5.6,2.8,104.8,101.8,0.552,115,0.547,0.46,0.323,0.74,46.0,21.5,15.2,6.8,6.9,-0.3,102.6,102.9,0.537,0,02/19/2016
Sacramento Kings,Denver Nuggets,0021500816,116,0.415,0.462,0.356,0.727,44.5,24.6,16.2,8.5,4.4,-2.0,105.4,107.4,0.546,110,0.407,0.436,0.337,0.767,46.2,23.1,15.1,7.6,4.7,-3.1,104.2,107.5,0.527,1,02/19/2016
Washington Wizards,Detroit Pistons,0021500806,98,0.462,0.457,0.362,0.749,40.2,24.3,14.7,9.1,4.0,-2.4,103.9,106.2,0.545,86,0.5,0.435,0.337,0.647,47.9,19.2,14.0,7.6,3.9,0.8,104.3,103.9,0.514,1,02/19/2016
Oklahoma City Thunder,Indiana Pacers,0021500812,98,0.741,0.476,0.361,0.788,48.6,22.8,15.8,7.7,6.5,8.4,112.1,103.8,0.566,101,0.528,0.447,0.35,0.752,44.6,20.6,15.5,9.4,4.7,2.3,103.7,101.6,0.535,0,02/19/2016
Memphis Grizzlies,Minnesota Timberwolves,0021500810,109,0.585,0.444,0.341,0.79,43.3,22.6,14.0,9.2,4.6,-1.0,103.9,105.0,0.53,104,0.315,0.457,0.317,0.795,43.9,23.2,15.4,7.8,4.7,-3.8,104.4,108.0,0.54,1,02/19/2016
New Orleans Pelicans,Philadelphia 76ers,0021500811,121,0.377,0.447,0.355,0.774,43.5,22.3,13.3,8.0,4.9,-3.0,104.9,107.8,0.535,114,0.151,0.433,0.331,0.68,42.6,21.0,18.1,8.5,6.8,-10.3,96.3,106.6,0.514,1,02/19/2016
