Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Golden State Warriors,San Antonio Spurs,0041600312,136,0.817,0.495,0.383,0.788,44.0,30.1,14.6,9.5,6.7,11.5,114.8,103.4,0.597,100,0.744,0.469,0.391,0.797,45.9,24.9,14.1,8.4,6.2,7.5,110.3,102.9,0.564,1,05/16/2017
Boston Celtics,Cleveland Cavaliers,0041600301,104,0.646,0.454,0.359,0.807,43.0,25.8,13.6,7.7,4.2,2.7,110.6,108.0,0.567,117,0.622,0.47,0.384,0.748,44.7,23.2,14.0,6.7,4.1,3.3,112.8,109.7,0.58,0,05/17/2017
Boston Celtics,Cleveland Cavaliers,0041600302,86,0.646,0.454,0.359,0.807,43.0,25.8,13.6,7.7,4.2,2.7,110.6,108.0,0.567,130,0.622,0.47,0.384,0.748,44.7,23.2,14.0,6.7,4.1,3.3,112.8,109.7,0.58,0,05/19/2017
San Antonio Spurs,Golden State Warriors,0041600313,108,0.744,0.469,0.391,0.797,45.9,24.9,14.1,8.4,6.2,7.5,110.3,102.9,0.564,120,0.817,0.495,0.383,0.788,44.0,30.1,14.6,9.5,6.7,11.5,114.8,103.4,0.597,0,05/20/2017
Cleveland Cavaliers,Boston Celtics,0041600303,108,0.622,0.47,0.384,0.748,44.7,23.2,14.0,6.7,4.1,3.3,112.8,109.7,0.58,111,0.646,0.454,0.359,0.807,43.0,25.8,13.6,7.7,4.2,2.7,110.6,108.0,0.567,0,05/21/2017
San Antonio Spurs,Golden State Warriors,0041600314,115,0.744,0.469,0.391,0.797,45.9,24.9,14.1,8.4,6.2,7.5,110.3,102.9,0.564,129,0.817,0.495,0.383,0.788,44.0,30.1,14.6,9.5,6.7,11.5,114.8,103.4,0.597,0,05/22/2017
Cleveland Cavaliers,Boston Celtics,0041600304,112,0.622,0.47,0.384,0.748,44.7,23.2,14.0,6.7,4.1,3.3,112.8,109.7,0.58,99,0.646,0.454,0.359,0.807,43.0,25.8,13.6,7.7,4.2,2.7,110.6,108.0,0.567,1,05/23/2017
Boston Celtics,Cleveland Cavaliers,0041600305,102,0.646,0.454,0.359,0.807,43.0,25.8,13.6,7.7,4.2,2.7,110.6,108.0,0.567,135,0.622,0.47,0.384,0.748,44.7,23.2,14.0,6.7,4.1,3.3,112.8,109.7,0.58,0,05/25/2017
Golden State Warriors,Cleveland Cavaliers,0041600401,113,0.817,0.495,0.383,0.788,44.0,30.1,14.6,9.5,6.7,11.5,114.8,103.4,0.597,91,0.622,0.47,0.384,0.748,44.7,23.2,14.0,6.7,4.1,3.3,112.8,109.7,0.58,1,06/01/2017
Golden State Warriors,Cleveland Cavaliers,0041600402,132,0.817,0.495,0.383,0.788,44.0,30.1,14.6,9.5,6.7,11.5,114.8,103.4,0.597,113,0.622,0.47,0.384,0.748,44.7,23.2,14.0,6.7,4.1,3.3,112.8,109.7,0.58,1,06/04/2017
Cleveland Cavaliers,Golden State Warriors,0041600403,113,0.622,0.47,0.384,0.748,44.7,23.2,14.0,6.7,4.1,3.3,112.8,109.7,0.58,118,0.817,0.495,0.383,0.788,44.0,30.1,14.6,9.5,6.7,11.5,114.8,103.4,0.597,0,06/07/2017
Cleveland Cavaliers,Golden State Warriors,0041600404,137,0.622,0.47,0.384,0.748,44.7,23.2,14.0,6.7,4.1,3.3,112.8,109.7,0.58,116,0.817,0.495,0.383,0.788,44.0,30.1,14.6,9.5,6.7,11.5,114.8,103.4,0.597,1,06/09/2017
Golden State Warriors,Cleveland Cavaliers,0041600405,129,0.817,0.495,0.383,0.788,44.0,30.1,14.6,9.5,6.7,11.5,114.8,103.4,0.597,120,0.622,0.47,0.384,0.748,44.7,23.2,14.0,6.7,4.1,3.3,112.8,109.7,0.58,1,06/12/2017
