Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Philadelphia 76ers,Boston Celtics,0021700019,92,0.0,0.462,0.429,0.737,45.3,23.6,16.0,5.7,5.7,-4.7,108.5,112.1,0.567,102,0.0,0.419,0.317,0.652,44.5,23.5,13.5,11.5,3.0,-5.5,99.5,106.1,0.499,0,10/20/2017
Phoenix Suns,Los Angeles Lakers,0021700026,130,0.0,0.315,0.259,0.722,33.0,10.0,16.0,9.0,8.0,-48.0,76.0,122.8,0.392,132,0.0,0.407,0.25,0.609,49.5,20.0,19.0,7.6,6.7,-15.2,87.6,101.9,0.455,0,10/20/2017
Brooklyn Nets,Orlando Magic,0021700022,126,0.0,0.479,0.4,0.906,37.4,19.1,17.4,6.1,1.7,-7.8,113.9,119.7,0.606,121,1.0,0.478,0.381,0.759,48.1,21.2,14.4,7.7,8.7,6.7,111.5,103.8,0.564,1,10/20/2017
Milwaukee Bucks,Cleveland Cavaliers,0021700021,97,1.0,0.5,0.333,0.833,45.0,19.0,15.0,6.0,4.0,8.0,108.0,99.0,0.605,116,1.0,0.458,0.227,0.84,51.0,19.4,17.3,3.1,4.1,3.1,104.1,100.0,0.543,0,10/20/2017
Indiana Pacers,Portland Trail Blazers,0021700018,96,1.0,0.52,0.265,0.781,40.2,24.8,12.0,10.3,7.7,7.7,119.7,113.9,0.603,114,1.0,0.489,0.583,0.786,56.4,21.8,17.8,7.9,6.9,47.5,122.8,76.0,0.606,0,10/20/2017
Dallas Mavericks,Sacramento Kings,0021700024,88,0.0,0.442,0.378,0.857,40.6,26.7,15.8,5.0,4.0,-5.9,109.9,114.7,0.583,93,0.0,0.477,0.348,0.8,42.0,19.0,18.0,5.0,4.0,-5.0,100.0,106.1,0.541,0,10/20/2017
Minnesota Timberwolves,Utah Jazz,0021700023,100,0.0,0.435,0.421,0.739,44.2,24.2,13.7,7.4,4.2,-8.4,104.2,111.5,0.52,97,1.0,0.506,0.375,0.938,37.1,28.9,15.5,9.3,5.2,10.3,109.3,99.0,0.602,1,10/20/2017
Charlotte Hornets,Atlanta Hawks,0021700017,109,0.0,0.397,0.3,0.793,47.5,16.2,17.2,4.0,3.0,-12.1,90.9,103.0,0.525,91,1.0,0.511,0.5,0.8,49.0,19.6,12.7,10.8,5.9,5.9,114.7,109.9,0.582,1,10/20/2017
Washington Wizards,Detroit Pistons,0021700020,115,1.0,0.433,0.273,0.789,48.6,19.6,9.3,7.5,9.3,4.7,112.1,108.5,0.528,111,1.0,0.427,0.346,0.917,47.5,24.2,9.1,14.1,3.0,12.1,103.0,90.9,0.504,1,10/20/2017
New Orleans Pelicans,Golden State Warriors,0021700025,120,0.0,0.38,0.28,0.828,53.7,15.8,18.9,4.2,12.6,-12.6,95.8,106.2,0.496,128,0.0,0.538,0.533,0.905,40.6,33.7,16.8,5.0,8.9,-1.0,119.8,120.8,0.678,0,10/20/2017
