Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Golden State Warriors,LA Clippers,0041800141,121,0.684,0.488,0.385,0.797,45.3,28.8,13.7,7.4,6.3,5.8,114.9,109.0,0.594,104,0.584,0.472,0.391,0.787,43.9,23.5,14.0,6.7,4.5,0.6,111.5,110.7,0.575,1,04/13/2019
Philadelphia 76ers,Brooklyn Nets,0041800121,102,0.636,0.472,0.361,0.773,46.3,26.0,14.6,7.2,5.1,3.0,111.8,108.9,0.576,111,0.519,0.448,0.351,0.745,45.1,23.0,14.3,6.4,3.9,0.0,109.0,109.0,0.555,0,04/13/2019
Denver Nuggets,San Antonio Spurs,0041800151,96,0.649,0.466,0.355,0.756,46.9,28.0,13.6,7.7,4.4,3.7,112.3,108.5,0.558,101,0.59,0.48,0.39,0.821,44.9,24.7,12.3,6.2,4.8,2.1,112.0,109.9,0.573,0,04/13/2019
Toronto Raptors,Orlando Magic,0041800111,101,0.684,0.472,0.365,0.806,44.3,25.0,13.8,8.2,5.2,5.6,112.3,106.9,0.578,104,0.519,0.455,0.357,0.786,45.7,25.8,13.3,6.7,5.4,1.3,108.5,107.3,0.552,0,04/13/2019
Boston Celtics,Indiana Pacers,0041800131,84,0.597,0.469,0.368,0.805,43.8,26.3,12.6,8.7,5.4,4.5,112.1,107.7,0.571,74,0.584,0.474,0.369,0.756,43.5,26.5,13.8,8.9,5.0,3.1,109.2,106.1,0.56,1,04/14/2019
Houston Rockets,Utah Jazz,0041800171,122,0.675,0.451,0.356,0.794,42.6,21.4,13.4,8.6,4.9,5.7,115.4,109.8,0.583,90,0.615,0.469,0.355,0.734,45.8,25.9,14.8,8.0,5.9,5.4,110.5,105.3,0.573,1,04/14/2019
Portland Trail Blazers,Oklahoma City Thunder,0041800161,104,0.641,0.467,0.358,0.811,47.4,22.9,13.7,6.6,5.0,3.9,113.5,109.5,0.567,99,0.628,0.457,0.354,0.717,46.0,22.6,13.3,9.0,4.9,3.9,110.4,106.4,0.549,1,04/14/2019
Milwaukee Bucks,Detroit Pistons,0041800101,121,0.714,0.476,0.35,0.773,47.5,25.0,13.2,7.3,5.6,8.2,113.5,105.2,0.583,86,0.474,0.439,0.347,0.749,45.5,22.9,14.0,7.2,4.1,-0.4,108.1,108.6,0.544,1,04/14/2019
Philadelphia 76ers,Brooklyn Nets,0041800122,145,0.636,0.472,0.361,0.773,46.3,26.0,14.6,7.2,5.1,3.0,111.8,108.9,0.576,123,0.519,0.448,0.351,0.745,45.1,23.0,14.3,6.4,3.9,0.0,109.0,109.0,0.555,1,04/15/2019
Golden State Warriors,LA Clippers,0041800142,131,0.684,0.488,0.385,0.797,45.3,28.8,13.7,7.4,6.3,5.8,114.9,109.0,0.594,135,0.584,0.472,0.391,0.787,43.9,23.5,14.0,6.7,4.5,0.6,111.5,110.7,0.575,0,04/15/2019
Portland Trail Blazers,Oklahoma City Thunder,0041800162,114,0.641,0.467,0.358,0.811,47.4,22.9,13.7,6.6,5.0,3.9,113.5,109.5,0.567,94,0.628,0.457,0.354,0.717,46.0,22.6,13.3,9.0,4.9,3.9,110.4,106.4,0.549,1,04/16/2019
