Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Minnesota Timberwolves,Los Angeles Lakers,0022101039,124,0.571,0.454,0.353,0.773,43.8,25.1,14.3,8.7,5.7,3.0,113.0,109.8,0.569,104,0.426,0.465,0.35,0.727,43.4,23.4,14.5,7.8,5.5,-2.6,108.7,111.2,0.562,1,03/16/2022
San Antonio Spurs,Oklahoma City Thunder,0022101040,122,0.377,0.468,0.35,0.743,44.6,27.6,12.6,7.5,5.0,-0.6,111.3,111.7,0.554,120,0.294,0.424,0.315,0.764,45.8,21.9,13.7,7.7,4.7,-8.0,102.8,110.7,0.523,1,03/16/2022
Utah Jazz,Chicago Bulls,0022101041,125,0.618,0.472,0.363,0.776,47.2,22.9,14.5,7.2,5.0,6.3,116.0,109.8,0.591,110,0.603,0.482,0.373,0.818,43.2,24.2,13.1,7.2,4.4,1.5,112.9,111.6,0.582,1,03/16/2022
Sacramento Kings,Milwaukee Bucks,0022101043,126,0.357,0.459,0.343,0.767,43.1,23.4,14.0,7.1,4.4,-5.0,109.7,114.5,0.559,135,0.623,0.463,0.366,0.775,46.4,23.5,13.3,7.6,4.0,3.9,113.8,110.0,0.578,0,03/16/2022
Golden State Warriors,Boston Celtics,0022101042,88,0.681,0.47,0.364,0.763,45.8,27.6,15.0,9.3,4.8,6.6,112.4,105.9,0.583,110,0.594,0.456,0.343,0.815,47.1,24.4,14.0,7.3,6.1,5.7,111.3,105.6,0.566,0,03/16/2022
LA Clippers,Toronto Raptors,0022101044,100,0.507,0.454,0.366,0.785,44.6,23.8,14.1,7.5,4.8,-0.8,107.9,108.8,0.557,103,0.559,0.442,0.352,0.754,46.3,22.4,13.0,9.3,4.8,1.6,111.4,110.0,0.541,0,03/16/2022
Charlotte Hornets,Atlanta Hawks,0022101033,116,0.493,0.461,0.362,0.736,44.0,26.8,13.0,8.6,4.7,-0.1,112.5,112.4,0.565,106,0.5,0.468,0.37,0.809,44.7,24.7,12.1,7.0,4.5,0.9,114.6,113.7,0.577,1,03/16/2022
Cleveland Cavaliers,Philadelphia 76ers,0022101034,114,0.574,0.466,0.351,0.762,46.0,25.9,15.2,7.3,4.4,3.2,110.1,107.1,0.568,118,0.612,0.46,0.358,0.82,43.6,23.8,12.8,7.8,5.6,1.9,111.7,109.5,0.57,0,03/16/2022
Washington Wizards,Denver Nuggets,0022101035,109,0.433,0.469,0.34,0.784,43.9,25.0,13.5,6.5,5.0,-3.1,110.1,113.0,0.566,127,0.594,0.477,0.351,0.788,44.7,27.7,14.6,7.4,3.8,2.7,112.6,110.0,0.584,0,03/16/2022
New York Knicks,Portland Trail Blazers,0022101037,128,0.412,0.436,0.354,0.747,47.6,22.1,14.0,7.0,5.0,-1.1,108.9,110.3,0.547,98,0.388,0.444,0.351,0.765,44.1,22.8,14.2,7.7,4.5,-6.4,108.2,114.8,0.554,1,03/16/2022
