Home,Away,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Charlotte Hornets,Portland Trail Blazers,0.6,0.458,0.377,0.74,48.9,20.5,15.3,8.2,5.0,6.7,108.8,102.1,0.568,0.667,0.46,0.402,0.737,42.9,24.9,12.8,9.3,4.3,1.8,112.4,110.0,0.561,1,10/31/2021
Brooklyn Nets,Detroit Pistons,0.2,0.408,0.275,0.748,44.2,21.0,16.8,9.2,5.8,-8.0,97.2,105.0,0.497,0.5,0.434,0.325,0.771,46.1,20.9,14.1,6.7,6.6,-4.3,101.0,105.6,0.538,1,10/31/2021
Los Angeles Lakers,Houston Rockets,0.2,0.426,0.36,0.761,43.2,20.9,17.1,9.0,4.4,-6.9,100.6,107.5,0.538,0.5,0.487,0.389,0.724,42.0,23.5,16.3,7.8,5.9,-1.0,109.8,111.0,0.58,1,10/31/2021
Dallas Mavericks,Sacramento Kings,0.6,0.454,0.34,0.786,44.4,22.9,13.7,6.3,4.7,-2.2,108.6,110.5,0.558,0.6,0.396,0.31,0.708,46.5,19.5,13.5,6.8,5.2,-6.8,97.6,104.0,0.499,1,10/31/2021
Milwaukee Bucks,Utah Jazz,0.8,0.445,0.325,0.836,50.7,18.3,16.4,7.5,4.9,12.8,110.5,97.4,0.567,0.5,0.444,0.324,0.759,43.8,21.0,14.3,7.9,4.0,-2.1,106.4,108.0,0.551,0,10/31/2021
Indiana Pacers,San Antonio Spurs,0.333,0.46,0.321,0.657,44.5,26.9,13.2,9.2,4.7,1.6,105.2,102.9,0.53,0.143,0.45,0.339,0.783,44.5,22.4,16.8,6.4,6.4,-4.0,105.1,109.1,0.552,1,11/01/2021
Philadelphia 76ers,Portland Trail Blazers,0.5,0.456,0.364,0.757,48.8,22.1,14.9,7.6,5.0,3.7,110.0,106.3,0.566,0.667,0.488,0.385,0.865,43.1,23.2,14.2,8.2,7.2,8.5,114.9,106.3,0.603,1,11/01/2021
Charlotte Hornets,Cleveland Cavaliers,0.429,0.446,0.3,0.78,45.3,25.0,16.0,8.1,3.7,-1.7,103.3,104.4,0.537,0.714,0.467,0.415,0.722,43.2,26.5,12.3,8.6,4.6,3.2,114.6,110.9,0.571,0,11/01/2021
Boston Celtics,Chicago Bulls,0.833,0.452,0.382,0.857,41.3,23.2,12.2,9.2,6.0,7.9,107.0,99.3,0.558,0.333,0.431,0.321,0.811,43.2,22.6,13.9,8.2,7.7,-4.1,103.5,107.7,0.537,0,11/01/2021
Atlanta Hawks,Washington Wizards,0.833,0.44,0.327,0.801,47.4,19.3,12.7,6.9,5.8,3.9,106.1,102.5,0.542,0.5,0.45,0.339,0.758,50.8,24.3,13.5,6.3,3.8,0.3,106.2,105.8,0.527,1,11/01/2021
Memphis Grizzlies,Denver Nuggets,0.667,0.479,0.313,0.671,44.5,23.8,18.8,9.5,3.7,4.5,101.0,97.5,0.558,0.5,0.434,0.345,0.826,46.1,25.6,15.3,10.7,5.5,-4.7,109.6,114.9,0.544,1,11/01/2021
Minnesota Timberwolves,Orlando Magic,0.143,0.432,0.366,0.748,45.2,21.9,17.4,5.4,4.7,-11.5,104.1,115.4,0.543,0.6,0.419,0.325,0.777,44.7,23.0,16.8,10.5,7.2,3.7,102.0,98.4,0.528,0,11/01/2021
LA Clippers,Oklahoma City Thunder,0.167,0.415,0.292,0.725,43.3,19.8,15.2,7.5,3.7,-14.5,97.2,111.1,0.508,0.2,0.42,0.317,0.709,40.0,23.4,11.3,11.1,3.7,-2.0,100.4,102.3,0.514,1,11/01/2021
