Home,Away,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Cleveland Cavaliers,Brooklyn Nets,0.706,0.463,0.38,0.808,44.1,24.6,14.5,6.9,5.3,3.7,107.8,104.5,0.578,0.529,0.447,0.332,0.765,45.3,24.4,16.7,8.1,3.7,0.0,104.9,104.3,0.547,0,11/22/2021
Atlanta Hawks,Oklahoma City Thunder,0.375,0.408,0.309,0.724,48.7,20.1,14.8,7.2,4.3,-7.0,99.1,106.0,0.505,0.471,0.46,0.364,0.79,46.8,23.6,12.8,6.8,4.0,0.1,110.6,110.7,0.557,1,11/22/2021
Chicago Bulls,Indiana Pacers,0.389,0.463,0.342,0.755,45.3,23.2,15.2,7.3,6.6,0.4,107.6,107.6,0.559,0.706,0.464,0.367,0.86,44.0,22.9,13.3,8.5,4.6,5.3,109.9,104.4,0.566,0,11/22/2021
Milwaukee Bucks,Orlando Magic,0.235,0.418,0.336,0.76,45.2,22.4,15.8,6.6,5.1,-8.8,102.6,111.0,0.524,0.529,0.439,0.356,0.732,46.1,21.9,13.7,7.6,4.3,-0.2,106.8,107.1,0.549,1,11/22/2021
San Antonio Spurs,Phoenix Suns,0.813,0.474,0.353,0.787,45.9,26.4,13.2,8.9,4.7,7.1,109.6,102.8,0.569,0.267,0.462,0.345,0.694,42.9,27.6,13.2,8.7,5.1,-2.5,105.2,107.2,0.538,0,11/22/2021
New Orleans Pelicans,Minnesota Timberwolves,0.438,0.427,0.342,0.766,44.9,23.6,16.3,9.1,6.0,1.4,106.1,104.8,0.536,0.167,0.422,0.341,0.811,46.9,23.2,15.8,7.2,4.3,-9.0,103.1,111.5,0.524,0,11/22/2021
Utah Jazz,Memphis Grizzlies,0.5,0.443,0.337,0.771,46.3,24.8,13.7,9.7,6.0,-5.1,108.4,113.8,0.536,0.688,0.467,0.34,0.785,48.4,22.0,15.7,7.8,5.4,9.9,114.3,104.5,0.585,0,11/22/2021
Boston Celtics,Houston Rockets,0.063,0.428,0.313,0.686,44.3,19.7,18.5,7.4,4.6,-10.5,98.0,108.5,0.524,0.529,0.445,0.332,0.799,45.6,22.6,13.9,7.7,5.7,1.9,106.7,105.4,0.548,1,11/22/2021
Sacramento Kings,Philadelphia 76ers,0.529,0.469,0.372,0.825,43.3,23.8,12.8,8.1,6.1,1.8,112.4,110.2,0.575,0.353,0.45,0.338,0.771,44.4,22.4,14.2,7.2,5.0,-2.0,108.9,110.5,0.551,0,11/22/2021
Washington Wizards,Charlotte Hornets,0.556,0.451,0.363,0.726,44.6,25.5,13.2,8.8,4.7,-1.3,109.1,110.1,0.547,0.688,0.459,0.332,0.793,46.3,23.6,14.2,6.9,5.4,2.6,106.8,104.0,0.557,0,11/22/2021
Detroit Pistons,Miami Heat,0.647,0.464,0.348,0.825,47.7,24.5,14.8,7.7,2.5,7.5,111.7,104.3,0.57,0.25,0.41,0.301,0.771,42.3,22.0,15.5,9.0,5.2,-8.8,101.1,109.8,0.513,0,11/23/2021
New York Knicks,Los Angeles Lakers,0.5,0.461,0.348,0.747,44.0,23.0,15.9,8.2,5.9,-3.4,105.4,108.7,0.555,0.529,0.441,0.364,0.762,45.8,22.1,14.1,7.1,6.5,0.5,108.6,108.2,0.553,1,11/23/2021
Portland Trail Blazers,Denver Nuggets,0.529,0.454,0.316,0.741,45.9,24.4,14.2,7.8,4.2,1.0,106.0,105.4,0.544,0.529,0.458,0.357,0.798,46.2,23.8,14.2,8.1,5.0,0.7,110.9,110.4,0.569,1,11/23/2021
LA Clippers,Dallas Mavericks,0.563,0.436,0.333,0.739,46.3,23.2,12.2,7.6,4.3,-1.9,106.3,108.1,0.537,0.588,0.447,0.355,0.806,44.4,22.7,14.4,8.5,4.6,3.7,105.4,102.0,0.553,0,11/23/2021
Cleveland Cavaliers,Phoenix Suns,0.824,0.476,0.358,0.789,45.8,26.3,13.3,9.0,4.5,6.9,109.9,103.3,0.571,0.5,0.444,0.331,0.776,45.6,24.3,16.6,8.0,3.8,-0.3,105.0,104.9,0.546,0,11/24/2021
Indiana Pacers,Los Angeles Lakers,0.474,0.456,0.346,0.744,44.2,23.0,15.7,8.2,5.7,-3.5,105.1,108.5,0.551,0.421,0.462,0.345,0.762,46.1,23.5,15.1,7.3,6.9,2.1,107.9,106.3,0.558,0,11/24/2021
Boston Celtics,Brooklyn Nets,0.722,0.463,0.376,0.812,44.0,25.0,14.2,6.8,5.4,3.8,108.2,104.7,0.578,0.556,0.443,0.333,0.806,46.1,22.3,13.9,7.8,5.6,2.7,106.5,104.3,0.548,0,11/24/2021
Orlando Magic,Charlotte Hornets,0.579,0.45,0.368,0.717,44.1,25.3,13.0,8.9,4.7,-0.9,109.0,109.5,0.546,0.222,0.415,0.332,0.758,45.3,22.0,15.9,6.6,5.0,-10.1,102.1,111.8,0.52,0,11/24/2021
Milwaukee Bucks,Detroit Pistons,0.235,0.41,0.299,0.774,42.1,22.1,15.5,8.9,5.0,-8.8,101.0,109.6,0.513,0.556,0.44,0.359,0.73,46.6,22.3,13.7,7.7,4.5,1.5,107.8,106.3,0.551,1,11/24/2021
Oklahoma City Thunder,Utah Jazz,0.647,0.468,0.343,0.784,48.3,22.3,15.6,7.6,5.6,9.2,114.5,105.3,0.586,0.353,0.408,0.306,0.733,48.9,20.4,14.6,7.1,4.4,-7.4,99.5,106.8,0.504,0,11/24/2021
Memphis Grizzlies,Toronto Raptors,0.444,0.437,0.346,0.775,46.5,21.7,13.6,10.3,4.6,-0.1,109.4,109.4,0.531,0.529,0.443,0.339,0.775,46.4,24.7,13.3,9.7,5.9,-4.7,109.0,114.1,0.538,0,11/24/2021
Houston Rockets,Chicago Bulls,0.667,0.458,0.359,0.85,43.8,22.4,13.1,8.4,4.4,3.2,108.4,105.0,0.559,0.059,0.425,0.309,0.687,44.1,19.7,18.2,7.2,4.6,-10.9,97.3,108.2,0.522,1,11/24/2021
Minnesota Timberwolves,Miami Heat,0.667,0.464,0.346,0.818,48.0,24.5,15.0,7.8,2.5,7.6,111.4,103.9,0.569,0.471,0.425,0.335,0.762,45.1,23.5,16.1,9.4,6.2,2.1,106.4,104.4,0.533,1,11/24/2021
New Orleans Pelicans,Washington Wizards,0.647,0.454,0.326,0.795,47.3,23.5,14.4,6.9,5.4,2.1,106.3,104.2,0.553,0.158,0.422,0.333,0.815,47.0,23.2,16.2,7.1,4.4,-9.2,102.7,111.4,0.523,1,11/24/2021
San Antonio Spurs,Atlanta Hawks,0.5,0.461,0.367,0.797,46.8,23.8,12.6,6.8,4.1,0.8,111.2,110.5,0.56,0.25,0.466,0.341,0.683,43.0,27.3,13.3,8.7,5.0,-2.6,105.5,107.6,0.539,0,11/24/2021
Sacramento Kings,Portland Trail Blazers,0.556,0.461,0.359,0.792,46.1,23.9,13.9,8.3,5.1,1.7,111.7,110.3,0.572,0.333,0.448,0.333,0.767,44.8,22.2,14.3,7.0,4.7,-2.3,108.5,110.4,0.548,1,11/24/2021
Golden State Warriors,Philadelphia 76ers,0.556,0.467,0.367,0.822,43.6,23.6,12.6,8.2,6.1,2.2,112.2,109.7,0.572,0.882,0.475,0.365,0.789,47.1,29.0,15.9,9.7,4.9,13.0,112.9,100.0,0.594,1,11/24/2021
New York Knicks,Phoenix Suns,0.833,0.479,0.358,0.788,45.8,26.2,13.4,8.7,4.3,6.8,110.3,103.8,0.574,0.556,0.442,0.368,0.765,46.2,22.2,14.3,7.1,6.4,0.8,108.4,107.7,0.554,0,11/26/2021
LA Clippers,Detroit Pistons,0.222,0.407,0.295,0.772,42.1,21.8,15.1,8.8,4.7,-9.5,100.5,109.8,0.509,0.556,0.445,0.353,0.808,44.6,22.4,14.6,8.3,4.5,3.0,105.3,102.5,0.552,1,11/26/2021
Charlotte Hornets,Minnesota Timberwolves,0.5,0.424,0.335,0.77,45.4,23.5,16.2,9.4,6.2,2.6,106.6,104.0,0.534,0.6,0.449,0.365,0.719,44.4,25.3,12.9,9.0,5.0,-0.5,109.0,109.0,0.545,1,11/26/2021
Orlando Magic,Chicago Bulls,0.632,0.458,0.363,0.849,43.4,22.5,13.1,8.5,4.5,2.8,108.2,105.3,0.559,0.211,0.414,0.333,0.759,45.6,22.1,15.8,6.5,4.8,-9.9,102.0,111.6,0.519,0,11/26/2021
Memphis Grizzlies,Atlanta Hawks,0.526,0.463,0.371,0.805,46.7,23.9,12.5,6.9,4.2,1.7,111.9,110.3,0.563,0.5,0.446,0.338,0.775,46.2,24.8,13.5,9.5,5.7,-5.2,109.5,115.1,0.541,0,11/26/2021
Indiana Pacers,Toronto Raptors,0.474,0.441,0.352,0.779,46.0,21.9,13.4,10.2,4.6,0.7,110.6,110.0,0.536,0.4,0.458,0.341,0.764,46.2,23.5,14.9,7.1,6.8,1.6,107.9,106.6,0.555,1,11/26/2021
Oklahoma City Thunder,Washington Wizards,0.611,0.453,0.321,0.78,47.0,23.3,14.6,6.7,5.2,0.6,105.6,105.1,0.55,0.333,0.41,0.312,0.73,48.6,20.4,14.5,7.1,4.4,-7.3,99.8,107.0,0.507,0,11/26/2021
San Antonio Spurs,Boston Celtics,0.526,0.44,0.326,0.813,46.1,22.5,13.8,7.7,5.5,1.6,106.5,105.4,0.545,0.235,0.464,0.343,0.687,43.1,27.3,13.2,8.7,5.0,-3.5,105.6,108.7,0.537,1,11/26/2021
Denver Nuggets,Milwaukee Bucks,0.579,0.443,0.362,0.737,47.1,22.3,13.8,7.6,4.5,2.5,108.0,105.6,0.554,0.5,0.456,0.323,0.744,45.5,24.6,14.5,7.8,4.3,-0.2,106.0,106.6,0.547,0,11/26/2021
Utah Jazz,New Orleans Pelicans,0.2,0.424,0.337,0.817,47.1,23.6,15.9,7.4,4.3,-7.5,103.6,110.5,0.526,0.667,0.467,0.342,0.787,48.0,22.1,15.3,7.8,5.8,9.0,114.2,105.3,0.586,0,11/26/2021
Golden State Warriors,Portland Trail Blazers,0.526,0.462,0.356,0.795,45.9,24.1,14.0,8.3,4.9,1.4,112.1,111.0,0.572,0.889,0.477,0.367,0.783,46.7,29.1,15.9,9.6,4.9,13.3,113.0,99.7,0.596,1,11/26/2021
Los Angeles Lakers,Sacramento Kings,0.368,0.452,0.334,0.76,44.7,22.1,14.2,6.9,4.7,-2.0,109.3,110.9,0.552,0.5,0.456,0.349,0.752,44.4,22.7,15.4,8.0,5.6,-3.0,105.4,108.5,0.552,0,11/26/2021
Chicago Bulls,Miami Heat,0.632,0.463,0.347,0.809,47.5,24.5,15.2,7.7,2.5,6.5,110.6,104.3,0.57,0.65,0.463,0.372,0.84,43.6,23.0,13.2,8.7,4.3,4.4,109.0,104.4,0.563,0,11/27/2021
Houston Rockets,Charlotte Hornets,0.619,0.454,0.376,0.722,44.3,25.6,13.0,8.8,5.1,0.3,109.9,109.1,0.552,0.111,0.429,0.318,0.691,44.0,20.0,18.4,7.1,4.6,-10.0,98.1,108.0,0.528,1,11/27/2021
Dallas Mavericks,Washington Wizards,0.632,0.454,0.322,0.789,46.9,23.1,14.7,6.5,5.6,0.7,105.6,105.0,0.552,0.588,0.436,0.331,0.745,46.0,23.1,12.4,7.8,4.3,-1.3,106.6,107.8,0.538,0,11/27/2021
Utah Jazz,New Orleans Pelicans,0.238,0.424,0.34,0.818,46.8,23.8,15.8,7.5,4.3,-7.1,103.5,110.1,0.526,0.632,0.466,0.344,0.782,47.8,21.9,15.4,7.7,5.9,8.5,113.6,105.0,0.584,1,11/27/2021
Philadelphia 76ers,Minnesota Timberwolves,0.474,0.425,0.334,0.769,45.3,23.5,15.9,9.3,6.2,1.6,106.9,105.3,0.534,0.526,0.465,0.364,0.827,43.4,23.2,13.0,8.3,6.1,1.0,111.3,109.9,0.57,0,11/27/2021
Atlanta Hawks,New York Knicks,0.526,0.438,0.365,0.765,46.5,21.7,14.4,7.1,6.1,-0.3,107.9,108.5,0.55,0.55,0.47,0.376,0.8,46.8,24.4,12.5,7.0,4.2,3.2,112.9,109.7,0.569,0,11/27/2021
Brooklyn Nets,Phoenix Suns,0.842,0.482,0.363,0.789,45.3,26.4,13.3,8.8,4.2,7.6,110.9,103.6,0.578,0.737,0.466,0.377,0.808,44.3,25.2,14.0,6.9,5.3,4.6,109.1,104.7,0.58,0,11/27/2021
Cleveland Cavaliers,Orlando Magic,0.2,0.412,0.329,0.755,45.1,21.9,15.8,6.5,4.8,-11.2,101.3,112.3,0.517,0.474,0.444,0.329,0.769,45.5,24.2,16.2,7.9,3.6,-0.5,105.4,105.5,0.545,1,11/27/2021
Indiana Pacers,Milwaukee Bucks,0.6,0.45,0.367,0.73,47.0,22.4,14.2,7.4,4.7,2.9,108.8,106.0,0.561,0.429,0.46,0.338,0.765,46.7,23.9,14.8,7.0,6.6,2.3,108.5,106.4,0.556,0,11/28/2021
Toronto Raptors,Boston Celtics,0.5,0.436,0.324,0.807,46.4,22.4,13.7,7.6,5.7,1.1,105.8,105.2,0.54,0.45,0.44,0.347,0.776,45.9,21.7,13.3,10.2,4.5,-0.3,110.2,110.5,0.534,0,11/28/2021
Memphis Grizzlies,Sacramento Kings,0.4,0.452,0.333,0.753,44.7,22.3,14.1,7.0,4.6,-1.7,109.6,110.7,0.551,0.474,0.444,0.336,0.773,45.7,24.9,13.4,9.5,5.8,-6.6,109.0,115.9,0.539,1,11/28/2021
Los Angeles Lakers,Detroit Pistons,0.211,0.405,0.293,0.777,42.6,21.5,15.1,8.7,4.7,-9.6,100.1,109.4,0.507,0.476,0.458,0.349,0.749,44.1,22.8,15.4,7.9,5.6,-3.0,105.6,108.8,0.555,1,11/28/2021
LA Clippers,Golden State Warriors,0.895,0.481,0.365,0.782,46.8,29.2,15.8,9.5,4.9,13.5,113.4,99.9,0.598,0.579,0.444,0.349,0.816,45.0,22.6,14.6,8.3,4.5,3.4,105.2,102.0,0.551,0,11/28/2021
